osID,title,objectives,approach,results,sponsoringAgency,researchAreas,nasaPrograms,factors,publications_count,publication_titles,principal_investigator,pi_institution,all_people,releaseDate,source_url
SSRE-FOAMS-AND-EMULSIONS,Structure and Stability of Foams and Emulsions,,,,National Aeronautics and Space Administration (NASA),Physical Science,"ISS Expedition 67, 68, 69",,0,,Jing Fan,"NASA Johnson Space Center, Houston, TX, United States",Jing Fan; Charles Maldarelli,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FOAM-STABILITY,Foam Optics And Mechanics - Stability,,,,European Space Agency (ESA),Physical Science,"ISS Expedition 19/20, 21/22",,5,"Vandewalle N, Caps H, Delon G, Saint-Jalmes A, Rio E, Saulnier L, Adler M, Biance AL, Pitois O, Cohen-Addad S, Hohler R, Weaire D, Hutzler S, Langevin D. Foam Stability in Microgravity. Journal of Physics: Conference Series. 2011; 327: 1-8. DOI: 10.1088/1742-6596/327/1/012024. | Carpy R, Picker G, Amann B, Ranebo H, Vincent-Bonnieu S, Minster O, Winter J, Dettmann J, Castiglione L, Höhler R, Langevin D. Foam generation and sample composition optimization for the FOAM-C experiment of the ISS. Journal of Physics: Conference Series. 2011 December 6; 327: 012025. DOI: 10.1088/1742-6596/327/1/012025. | Caps H, Vandewalle N, Saint-Jalmes A, Saulnier L, Yazhgur PA, Rio E, Salonen A, Langevin D. How foams unstable on Earth behave in microgravity?. Colloids and Surfaces A: Physicochemical and Engineering Aspects. 2014 September 5; 457: 392-396. DOI: 10.1016/j.colsurfa.2014.05.063. | Caps H, Delon G, Vandewalle N, Guillermic RM, Pitois O, Biance AL, Saulnier L, Yazhgur PA, Rio E, Salonen A, Langevin D. Does water foam exist in microgravity?. Europhysics News. 2014 May; 45(3): 22-25. DOI: 10.1051/epn/2014303. | Banhart J, Garcia-Moreno F, Hutzler S, Langevin D, Liggieri L, Miller R, Saint-Jalmes A, Weaire D. Foams and emulsions in space. Europhysics News. 2008 July 26; 39(4): 26-28. DOI: 10.1051/epn:2008402.",N Vandewalle,,N Vandewalle,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FOB,Forward Osmosis Bag,,,,National Aeronautics and Space Administration (NASA),Technology Development and Demonstration,ISS Expedition 27/28,,4,"Flynn MT, Soler MP, Shull S, Broyan, Jr. JL, Chambliss JP, Howe AS, Gormly S, Hammoudeh M, Shaw H, Howard K. Forward Osmosis Cargo Transfer Bag. 42nd International Conference on Environmental Systems, San Diego, CA; 2012 Jul 15-19. | Edney S, Birmele MN, Roberts MS. Evaluation Of A Passive Water Treatment Device for Contingency Liquid Recovery from Urine for Spacecraft Applications. 39th International Conference on Environmental Systems, Savannah, GA; 2009 July. 10pp. DOI: 10.4271/2009-01-2488. | Flynn MT, Gormly S, Cath TY, Adams VD, Childress AE. Direct Osmotic Concentration System for Spacecraft Wastewater Recycling. International Conference On Environmental Systems, Chicago, IL; 2007 July 9. 12pp. DOI: 10.4271/2007-01-3035. | Gormly S, Flynn MT. Lightweight contingency urine recovery system concept development. International Conference On Environmental Systems, Chicago, IL; 2007 July. 01-3037. DOI: 10.4271/2007-01-3037.",Howard Levine,"NASA Kennedy Space Center, Cape Canaveral, FL, United States",Howard Levine,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FOCUS,Foam Casting and Utilization in Space,,,,European Space Agency (ESA),Physical Science,ISS Expedition 21/22,,3,"Somosvari BM, Barczy P, Szoke J, Szirovicza P, Barczy T. FOCUS: Foam evolution and stability in microgravity. Colloids and Surfaces A: Physicochemical and Engineering Aspects. 2011 June; 382(1-3): 58-63. DOI: 10.1016/j.colsurfa.2011.01.035. | Somosvari BM, Barczy P, Szirovicza P, Szoke J, Barczy T. Foam Evolution and Stability at Elevated Gravity Levels. Materials Science Forum. 2010 May; 649: 391-397. DOI: 10.4028/www.scientific.net/MSF.649.391. | Somosvari BM, Barczy P. Investigating the foamability decrease of water-SiO2 suspension. Materials Science Forum. 2014 May; 790-791: 253-258. DOI: 10.4028/www.scientific.net/MSF.790-791.253.",Pal Barczy,,Pal Barczy,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FOOD-ACCEPTABILITY,"Food Acceptability, Menu Fatigue, and Aversion in ISS Missions",,,,National Aeronautics and Space Administration (NASA),Human Research,"ISS Expedition 51/52, 55/56, 57/58, 59/60, 61/62, 63, 65, 64, 66",,1,"Douglas GL, Bell ST, Roma P, Oswald T, Young MH. Food acceptability and selection by astronauts on International Space Station missions informs strategies and risks for deep space exploration. Frontiers in Psychology. 2025 October 30; 16: 1562044. DOI: 10.3389/fpsyg.2025.1562044.",Grace Douglas,"NASA Johnson Space Center, Human Research Program, ISS Medical Project, Houston, TX, United States",Grace Douglas,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FOOD-EXPERIENCE-AX-3,Food Experience (Ax-3),,,,National Aeronautics and Space Administration (NASA),Human Research,ISS Expedition 70,,0,,"Alice Colombo, Barilla, Parma","Barilla, Parma, Italy","Alice Colombo, Barilla, Parma",,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FOOD-PHYSIOLOGY,"The Integrated Impact of Diet on Human Immune Response, the Gut Microbiota, and Nutritional Status During Adaptation to Spaceflight",,,,National Aeronautics and Space Administration (NASA),Human Research,"ISS Expedition 59/60, 61/62, 63, 65, 67, 68, 69, 64, 66",,0,,Grace Douglas,"NASA Johnson Space Center, Human Research Program, ISS Medical Project, Houston, TX, United States",Grace Douglas,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FOOD-PROCESSOR,Advanced System for Space Food,,,,European Space Agency (ESA),Technology Development and Demonstration,"ISS Expedition 65, 69, 70, 73, 66, 74, 75",,0,,Alain Maillet,"CADMOS-CNES, Toulouse, France",Alain Maillet,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FOOT,Foot Reaction Forces During Space Flight,,,,National Aeronautics and Space Administration (NASA),Human Research,"ISS Expedition 6, 8, 11, 12",,7,"Pierre MC, Genc KO, Litow M, Humphreys BT, Rice AJ, Maender CC, Cavanagh PR. Comparison of Knee Motion on Earth and in Space: An Observational Study. Journal of Neuroengineering and Rehabilitation. 2006 April 13; 8. DOI: 10.1186/1743-0003-3-8. | Cavanagh PR, Gopalakrishnan R, Rice AJ, Genc KO, Maender CC, Nystrom PG, Johnson MJ, Kuklis MM, Humphreys BT. An Ambulatory Biomechanical Data Collection System for Use in Space: Design and Validation. Aviation, Space, and Environmental Medicine. 2009; 80(10): 870-881. DOI: 10.3357/ASEM.2266.2009. | Genc KO, Humphreys BT, Cavanagh PR. Enhanced Daily Load Stimulus to Bone in Spaceflight and on Earth. Aviation, Space, and Environmental Medicine. 2009; 80: 919-926. DOI: 10.3357/ASEM.2380.2009. | Gopalakrishnan R, Genc KO, Rice AJ, Lee SM, Evans HJ, Maender CC, Ilaslan H, Cavanagh PR. Muscle Volume, Strength, Endurance, and Exercise Loads During 6-Month Missions in Space. Aviation, Space, and Environmental Medicine. 2010; 81(2): 91-102. DOI: 10.3357/ASEM.2583.2010. | Cavanagh PR, Licata AA, Rice AJ. Exercise and Pharmocological Countermeasures for Bone Loss During Long-Duration Space Flight. Gravitational and Space Biology. 2005 June; 18(2): 39-58. | Cavanagh PR, Genc KO, Gopalakrishnan R, Kuklis MM, Maender CC, Rice AJ. Foot forces during typical days on the international space station. Journal of Biomechanics. 2010; 43: 2182-2188. DOI: 10.1016/j.jbiomech.2010.03.044. | Genc KO, Gopalakrishnan R, Kuklis MM, Maender CC, Rice AJ, Bowersox KD, Cavanagh PR. Foot forces during exercise on the International Space Station. Journal of Biomechanics. 2010 November 16; 43(15): 3020-3027. DOI: 10.1016/j.jbiomech.2010.06.028.",Peter Cavanagh,"NASA Johnson Space Center, Human Research Program, Houston, TX, United States",Peter Cavanagh,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FORAS-PROMINEO,Foras Promineo,,,,National Aeronautics and Space Administration (NASA),Educational and Cultural Activities,"ISS Expedition 73, 74",,0,,"John Stout, M.Ed., Perkins Local Schools","Perkins High School, Sandusky, OH, United States","John Stout, M.Ed., Perkins Local Schools; Phil Putman",,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FORCE-SHOES,In-flight Demonstration of Portable Load Monitoring Devices-Phase I: XSENS ForceShoe<sup>TM</sup>,,,,National Aeronautics and Space Administration (NASA),Human Research,"ISS Expedition 39/40, 41/42, 43/44",,0,,Andrea Hanson,"NASA Johnson Space Center, Human Research Program, Houston, TX, United States",Andrea Hanson,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FORMIROVANIE-VIKHREY-PK,Studying Plasma Dust Crystals and Liquids in Microgravity on the ISS RS - Formirovanie Vikhrey-PK,,,,State Space Corporation ROSCOSMOS (ROSCOSMOS),Physical Science,ISS Expedition 35/36,,0,,Vladimir Fortov,,Vladimir Fortov,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FORWARD-OSMOSIS-MEMBRANE,Assessing the Performance of Urease-phospholipid Reactive Forward Osmosis Membranes for Water Reclamation Aboard the ISS,,,,National Aeronautics and Space Administration (NASA),Technology Development and Demonstration,ISS Expedition 67,,0,,Eduardo Nicolau,"University of Puerto Rico, San Juan, PR, Puerto Rico",Eduardo Nicolau,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FOUR-BED-CO2-SCRUBBER,Four Bed CO<sub>2</sub> Scrubber,,,,National Aeronautics and Space Administration (NASA),Technology Development and Demonstration,"ISS Expedition 65, 67, 68, 69, 70, 71, 72, 73, 66",,10,"Peters WT, Knox J. 4BMS-X design and test activation. 47th International Conference on Environmental Systems, Charleston, South Carolina; 2017 July 16. 17pp. | Giesy TJ, Coker RF, O'Connor BF, Knox J. Virtual design of a 4-bed molecular sieve for exploration. 47th International Conference on Environmental Systems, Charleston, South Carolina; 2017 July 16. 7pp. | Knox J, Cmarik GE, Watson DW, Miller LA, Giesy TJ. Investigation of desiccants and CO2 sorbents for exploration systems 2016-2017. 47th International Conference on Environmental Systems, Charleston, South Carolina; 2021 July 16. 17pp. | Knox J, Coker RF, Howard DF, Peters WT, Watson DW, Cmarik GE, Miller LA. Development of carbon dioxide removal systems for advanced exploration systems 2015-2016. 46th International Conference on Environmental Systems, Vienna, Austria; 2016 July 10. 10pp. | Knox J, Cmarik GE, Watson DW, Miller LA, West PW, Wingard CD. Investigation of desiccants and CO2 sorbents for advanced exploration systems 2015-2016. 46th International Conference on Environmental Systems, Vienna, Austria; 2016 July 10. 13pp. | Cmarik GE, Knox J. Co-adsorption of carbon dioxide on zeolite 13X in the presence of preloaded water. 48th International Conference on Environmental Systems, Albuquerque, New Mexico; 2018 July 8. 10pp. | Cmarik GE, Knox J, Huff T. Analysis of performance degradation of silica gels after extended use onboard the ISS. 48th International Conference on Environmental Systems, Albuquerque, New Mexico; 2018 July 8. 11pp. | Cmarik GE, Knox J. CO2 removal for the International Space Station – 4-bed molecular sieve material selection and system design. 49th International Conference on Environmental Systems, Boston, Massachusetts; 2019 July 7-11. 11pp. | Knox J, Cmarik GE, Waddle A. Four Bed Carbon Dioxide Scrubber Engineering Development Unit Cabin Air Inlet Testing. 52nd International Conference on Environmental Systems, Calgary, Canada; 2023 July 16-20. 10pp. | Cmarik GE, Peters WT, Knox J. 4-Bed CO2 scrubber – from design to build. 2020 International Conference on Environmental Systems; 2020 July 31. 9pp.",Greg Cmarik,"NASA Marshall Space Flight Center, Huntsville, AL, United States",Greg Cmarik,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FRAGILITY,The Origin of Fragility in High-temperature Oxide Liquids - Towards Fabrication of Novel Non-equilibrium Oxide Materials,,,,Japan Aerospace Exploration Agency (JAXA),Physical Science,"ISS Expedition 55/56, 61/62",,1,"Shuseki Y, Kohara S, Kaneko T, Sodeyama K, Onodera Y, Koyama C, Masuno A, Sasaki S, Hatano S, Shiga M, Obayashi I, Hiraoka Y, Okada JT, Mizuno A, Watanabe Y, Nakata Y, Ohara K, Murakami M, Tucker MG, McDonnell MT, Oda H, Ishikawa T. Atomic and electronic structure in MgO–SiO2. Journal of Physical Chemistry A. 2024 February; 128(4): 716-726. DOI: 10.1021/acs.jpca.3c05561.",Shinji Kohara,"Japan Aerospace Exploration Agency, Space Environment Utilization Center, Tsukuba, Japan",Shinji Kohara,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FREEDOM,FREEDOM,,,,Japan Aerospace Exploration Agency (JAXA),Technology Development and Demonstration,ISS Expedition 49/50,,0,,Nakashimada Engineering Works,"Nakashimada Engineering Works, Ltd., Fukuoka, Japan",Nakashimada Engineering Works,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FREE-SPACE-PADLES,Space Radiation Dosimeter by Free-Space PADLES in ISS JEM Exposed area,,,,Japan Aerospace Exploration Agency (JAXA),Technology Development and Demonstration,"ISS Expedition 41/42, 43/44, 45/46",,0,,Aiko Nagamatsu,"Japan Aerospace Exploration Agency (JAXA), Tsukuba, Japan",Aiko Nagamatsu,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FRONT-KRISTALLIZATSII-PK-CRYSTALLIZATION-FRONT-PK,Studying Plasma Dust Crystals and Liquids in Microgravity on the ISS RS - Front Kristallizatsii-PK,,,,State Space Corporation ROSCOSMOS (ROSCOSMOS),Physical Science,"ISS Expedition 29/30, 31/32, 33/34",,0,,Vladimir Fortov,,Vladimir Fortov,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FRUIT-FLY-DNA-REPAIR,Fruit Fly DNA Repair,,,,National Aeronautics and Space Administration (NASA),Biology and Biotechnology,ISS Expedition 73,,0,,Attila Gácser,"University of Szeged, Szeged, Hungary",Attila Gácser,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FRUIT-FLY-LAB-02-FFL-02,"The effects of microgravity on cardiac function, structure and gene expression using the <em>Drosophila </em>model",,,,National Aeronautics and Space Administration (NASA),Biology and Biotechnology,ISS Expedition 51/52,,1,"Walls S, Diop S, Birse R, Elmen L, Gan Z, Kalvakuri S, Pineda S, Reddy C, Taylor E, Trinh B, Vogler G, Zarndt R, McCulloch A, Lee PH, Bhattacharya S, Bodmer R, Ocorr K. Prolonged exposure to microgravity reduces cardiac contractility and initiates remodeling in Drosophila. Cell Reports. 2020 December 8; 33(10): 108445. DOI: 10.1016/j.celrep.2020.108445.",Rolf Bodmer,"NASA Ames Research Center, Moffett Field, CA, United States",Rolf Bodmer,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FRUIT-FLY-LAB-01-FFL-01,ARC ISS Drosophila Experiment,,,,National Aeronautics and Space Administration (NASA),Biology and Biotechnology,ISS Expedition 41/42,,8,"Inan OT, Etemadi M, Sanchez ME, Marcu O, Bhattacharya S, Kovacs GT. A miniaturized video system for monitoring the locomotor activity of walking drosophila melanogaster in space and terrestrial settings. IEEE Transactions on Biomedical Engineering. 2009 February; 56(2): 522-524. DOI: 10.1109/TBME.2008.2006018. | Inan OT, Marcu O, Sanchez ME, Bhattacharya S, Kovacs GT. A portable system for monitoring the behavioral activity of Drosophila. Journal of Neuroscience Methods. 2011 October; 202(1): 45-52. DOI: 10.1016/j.jneumeth.2011.08.039. | Fahlen TF, Sanchez ME, Lera MP, Blazevic E, Chang J, Bhattacharya S. A Study of the Effects of Space Flight on the Immune Response in Drosophila Melanogaster. Gravitational and Space Biology. 2006; 19(2): 133-134. | Wilson JW, Ott CM, Quick L, Davis RR, Honer zu Bentrup K, Crabbe A, Richter E, Sarker SF, Barrila J, Porwollik S, Cheng P, McClelland M, Tsaprailis G, Radabaugh T, Hunt A, Shah M, Nelman-Gonzalez MA, Hing SM, Parra MP, Dumars PM, Norwood KL, Bober R, Devich J, Ruggles AD, CdeBaca A, Narayan S, Benjamin J, Goulart C, Rupert MA, Catella LA, Schurr MJ, Buchanan K, Morici L, McCracken J, Porter MD, Pierson DL, Smith SM, Mergeay M, Leys N, Stefanyshyn-Piper HM, Gorie D, Nickerson CA. Media Ion Composition Controls Regulatory and Virulence Response of Salmonella in Spaceflight. PLOS ONE. 2008; 3(12): DOI: 10.1371/journal.pone.0003923. | Marcu O, Lera MP, Sanchez ME, Levic E, Higgins LA, Shmygelska A, Fahlen TF, Nichol H, Bhattacharya S. Innate Immune Responses of Drosophila melanogaster Are Altered by Spaceflight. PLOS ONE. 2011; 6(1): 1-10. DOI: 10.1371/journal.pone.0015361. | Chan KL, Inan OT, Bhattacharya S, Marcu O. Estimating the speed of Drosophila locomotion using an automated behavior detection and analysis system. Fly. 2012 July-September; 6(3): 205-210. DOI: 10.4161/fly.20987. | Parsons-Wingerter P, Hosamani R, Vickerman MB, Bhattacharya S. Mapping by VESGEN of wing vein phenotype in Drosophila for quantifying adaptations to space environments. Gravitational and Space Research. 2015 December 31; 3(2): 54-64. DOI: 10.2478/gsr-2015-0011. | Gilbert R, Torres ML, Clemens R, Hateley S, Hosamani R, Wade W, Bhattacharya S. Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model. npj Microgravity. 2020 February 4; 6(1): 1-9. DOI: 10.1038/s41526-019-0091-2.",SHARMILA BHATTACHARYA,"NASA Ames Research Center, Moffett Field, CA, United States",SHARMILA BHATTACHARYA,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FRUIT-FLY-LAB-03-FFL-03,Does Spaceflight Alter the Virulence of a Natural Parasite of <em>Drosophila</em>,,,,National Aeronautics and Space Administration (NASA),Biology and Biotechnology,"ISS Expedition 53/54, 55/56",,0,,Subha Govind,"NASA Ames Research Center, Moffett Field, CA, United States",Subha Govind,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FSL-SOFT-MATTER-DYNAMICS-COMPGRAN,FSL Soft Matter Dynamics - Compaction and Sound Transmission in Dense Granular Media (COMPGRAN),,,,European Space Agency (ESA),Physical Science,"ISS Expedition 61/62, 67, 72, 64",,0,,Matthias Sperl,"Airbus DS GmbH, Friedrichshafen, Germany",Matthias Sperl,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FSL-SOFT-MATTER-DYNAMICS-FOAM,FSL Soft Matter Dynamics - Hydrodynamics of Wet Foams (FOAM),,,,European Space Agency (ESA),Physical Science,"ISS Expedition 63, 65, 68, 69, 71, 73, 64, 66, 74",,5,"Born P, Braibanti M, Cristofolini L, Cohen-Addad S, Durian DJ, Egelhaaf SU, Escobedo-Sanchez MA, Hohler R, Karapantsios TD, Langevin D, Liggieri L, Pasquet M, Rio E, Salonen A, Schroter M, Sperl M, Sutterlin R, Zuccolotto-Bernez AB. Soft matter dynamics: A versatile microgravity platform to study dynamics in soft matter. Review of Scientific Instruments. 2021 December 1; 92(12): 124503. DOI: 10.1063/5.0062946. | Galvani N, Pasquet M, Mukherjee A, Requier A, Cohen-Addad S, Pitois O, Hohler R, Rio E, Salonen A, Durian DJ, Langevin D. Hierarchical bubble size distributions in coarsening wet liquid foams. Proceedings of the National Academy of Sciences of the United States of America. 2023 September 19; 120(38): e2306551120. DOI: 10.1073/pnas.2306551120. | Pasquet M, Galvani N, Requier A, Cohen-Addad S, Hohler R, Pitois O, Rio E, Salonen A, Langevin D. Coarsening transitions of wet liquid foams under microgravity conditions. Soft Matter. 2023 August 8; 19(33): 6267-6279. DOI: 10.1039/d3sm00535f. | Galvani N, Pitois O, Cohen-Addad S. Coarsening of bubble assemblies: From dry foams to dilute bubbly liquids. Journal of Colloid and Interface Science. 2025 May 8; 696: 137661. DOI: 10.1016/j.jcis.2025.137661. | Pasquet M, Galvani N, Pitois O, Cohen-Addad S, Hohler R, Chieco AT, Dillavou S, Hanlan JM, Durian DJ, Rio E, Salonen A, Langevin D. Aqueous foams in microgravity, measuring bubble sizes. Comptes Rendus Mécanique. 2023 May 12; 351(S2): 139-161. DOI: 10.5802/crmeca.153.","Dominique Langevin, Universite Paris-Sud, Orsay","Airbus DS GmbH, Friedrichshafen, Germany","Dominique Langevin, Universite Paris-Sud, Orsay; Emmanuelle Rio, Laboratoire de Physique des Solides, Université Paris-Sud; Anniina Salonen, Laboratoire de Physique des Solides, Université Paris-Sud; Denis Weaire, School of Physics, Trinity College Dublin; Stefan Hutzler, School of Physics, Trinity College Dublin; Sylvie Cohen-Addad, Institut des NanoSciences de Paris / UMR CNRS 7588, Université Pierre & Marie Curie (Paris 6); Reinhard Hohler; Simon Cox, Department of Mathematics; Douglas Durian; Ko Okumura; Andrei Sonin",,https://www.nasa.gov/mission/station/research-explorer/
SSRE-FSL-SOFT-MATTER-DYNAMICS-PASTA,FSL Soft Matter Dynamics - Particle STAbilised Emulsions and Foams (PASTA),,,,European Space Agency (ESA),Physical Science,"ISS Expedition 67, 71, 72, 73, 66, 74, 75",,22,"Lorusso V, Orsi D, Vaccari M, Ravera F, Santini E, Chondrou AP, Kostoglou M, Karapantsios TD, McMillin R, Ferri JK, Vincent-Bonnieu S, Liggieri L, Cristofolini L. Intrinsic dynamics of emulsions: Experiments in microgravity on the International Space Station. Journal of Colloid and Interface Science. 2025 January; 677: 231-243. DOI: 10.1016/j.jcis.2024.07.205. | Drelich A, Dalmazzone C, Pezron I, Liggieri L, Clausse D. DSC (Differential Scanning Calorimetry) used to follow the evolution of W/O emulsions versus time on ground and in space in the ISS. Oil & Gas Sciences and Technology. 2018; 73: 16. DOI: 10.2516/ogst/2018003. | Noskov BA, Yazhgur PA, Liggieri L, Lin SY, Loglio G, Miller R, Ravera F. Dilational rheology of spread and adsorbed layers of silica nanoparticles at the liquid-gas interface. Colloid Journal. 2014 March 1; 76(2): 127-138. DOI: 10.1134/S1061933X14020057. | Zabiegaj D, Caccia M, Cascob ME, Ravera F, Narciso J. Synthesis of carbon monoliths with a tailored hierarchical pore structure for selective CO2 capture. Journal of CO2 Utilization. 2018 July 1; 26: 36-44. DOI: 10.1016/j.jcou.2018.04.020. | Guzman E, Santini E, Zabiegaj D, Ferrari M, Liggieri L, Ravera F. Interaction of carbon black particles and dipalmitoylphosphatidylcholine at the water/air interface: thermodynamics and rheology. Journal of Physical Chemistry C. 2015 December 3; 119(48): 26937-26947. DOI: 10.1021/acs.jpcc.5b07187. | Javadi A, Kragel J, Karbaschi M, Won J, Dan A, Gochev G, Makievski AV, Loglio G, Liggieri L, Ravera F, Kovalchuk NM, Lotfi M, Ulaganathan V, Kovalchuk VI, Miller R. Capillary pressure experiments with single drops and bubbles. Colloid and Interface Chemistry for Nanotechnology; 2013. | Guzman E, Santini E, Liggieri L, Ravera F, Loglio G, Maestro A, Rubio RG, Kraegel J, Grigoriev D, Miller R. Particle-surfactant interaction at liquid interfaces. Colloid and Interface Chemistry for Nanotechnology; 2013. | Loglio G, Kovalchuk VI, Bykov AG, Ferrari M, Kraegel J, Liggieri L, Miller R, Noskov BA, Pandolfini P, Ravera F, Santini E. Dynamic properties of mixed cationic/nonionic adsorbed layers at the n-hexane/water interface: Capillary pressure experiments under low gravity conditions. Colloids and Interfaces. 2018 November 2; 2(4): 53. DOI: 10.3390/colloids2040053. | Loglio G, Kovalchuk VI, Bykov AG, Ferrari M, Kragel J, Liggieri L, Miller R, Noskov BA, Pandolfini P, Ravera F, Santini E. Interfacial Dilational Viscoelasticity of Adsorption Layers at the Hydrocarbon/Water Interface: The Fractional Maxwell Model. Colloids and Interfaces. 2019 December; 3(4): 66. DOI: 10.3390/colloids3040066. | Kovalchuk VI, Loglio G, Bykov AG, Ferrari M, Kragel J, Liggieri L, Miller R, Milyaeva OY, Noskov BA, Ravera F, Santini E, Schneck E. Effect of temperature on the dynamic properties of mixed surfactant adsorbed layers at the water/hexane interface under low-gravity conditions. Colloids and Interfaces. 2020 September; 4(3): 27. DOI: 10.3390/colloids4030027. | Orsi D, Lorusso V, Vaccari M, Cristofolini L. Diffusing wave spectroscopy for the study of emulsions on-ground and in microgravity. Current Opinion in Colloid & Interface Science. 2025 February; 75: 101892. DOI: 10.1016/j.cocis.2024.101892. | Zabiegaj D, Buscaglia MT, Giuranno D, Liggieri L, Ravera F. Activated carbon monoliths from particle stabilized foams. Microporous and Mesoporous Materials. 2017 February 1; 239: 45-53. DOI: 10.1016/j.micromeso.2016.09.046. | Santini E, Guzman E, Ferrari M, Liggieri L. Emulsions stabilized by the interaction of silica nanoparticles and palmitic acid at the water–hexane interface. Colloids and Surfaces A: Physicochemical and Engineering Aspects. 2014 October 20; 460: 333-341. DOI: 10.1016/j.colsurfa.2014.02.054. | Orsi D, Salerni F, Macaluso E, Santini E, Ravera F, Liggieri L, Cristofolini L. Diffusing wave spectroscopy for investigating emulsions: I. Instrumental aspects. Colloids and Surfaces A: Physicochemical and Engineering Aspects. 2019 November 5; 580: 123574. DOI: 10.1016/j.colsurfa.2019.123574. | Salerni F, Orsi D, Santini E, Liggieri L, Ravera F, Cristofolini L. Diffusing wave spectroscopy for investigating emulsions: II. Characterization of a paradigmatic oil-in-water emulsion. Colloids and Surfaces A: Physicochemical and Engineering Aspects. 2019 November 5; 580: 123724. DOI: 10.1016/j.colsurfa.2019.123724. | Pandolfini P, Loglio G, Ravera F, Liggieri L, Kovalchuk VI, Javadi A, Karbaschi M, Kragel J, Miller R, Noskov BA, Bykov AG. Dynamic properties of Span-80 adsorbed layers at paraffin-oil/water interface: Capillary pressure experiments under low gravity conditions. Colloids and Surfaces A: Physicochemical and Engineering Aspects. 2017 November 5; 532: 228-243. DOI: 10.1016/j.colsurfa.2017.05.012. | Zabiegaj D, Santini E, Ferrari M, Liggieri L, Ravera F. Carbon based porous materials from particle stabilized wet foams. Colloids and Surfaces A: Physicochemical and Engineering Aspects. 2015 May 20; 473: 24-31. DOI: 10.1016/j.colsurfa.2015.02.031. | Bykov AG, Liggieri L, Noskov BA, Pandolfini P, Ravera F, Loglio G. Surface dilational rheological properties in the nonlinear domain. Advances in Colloid and Interface Science. 2015 August; 222: 110-118. DOI: 10.1016/j.cis.2014.07.006. | Born P, Braibanti M, Cristofolini L, Cohen-Addad S, Durian DJ, Egelhaaf SU, Escobedo-Sanchez MA, Hohler R, Karapantsios TD, Langevin D, Liggieri L, Pasquet M, Rio E, Salonen A, Schroter M, Sperl M, Sutterlin R, Zuccolotto-Bernez AB. Soft matter dynamics: A versatile microgravity platform to study dynamics in soft matter. Review of Scientific Instruments. 2021 December 1; 92(12): 124503. DOI: 10.1063/5.0062946. | Llamas S, Santini E, Liggieri L, Salerni F, Orsi D, Cristofolini L, Ravera F. Adsorption of sodium dodecyl sulfate at water–dodecane interface in relation to the oil in water emulsion properties. Langmuir. 2018 May 29; 34(21): 5978-5989. DOI: 10.1021/acs.langmuir.8b00358. | Guzman E, Orsi D, Cristofolini L, Liggieri L, Ravera F. Two-dimensional DPPC based emulsion-like structures stabilized by silica nanoparticles. Langmuir. 2014 October 7; 30(39): 11504-11512. DOI: 10.1021/la502183t. | Dewandre TM, Dubois F, Callens N, Dupont O, Bascou E. Digital Holographic Microscopy fr Emulsions on the Fluid Science Laboratory. International Conference on Space Optics, Toulouse, France; 2004 April 13. 105682U. DOI: 10.1117/12.2500119.",Liberio Liggieri,"Airbus DS GmbH, Friedrichshafen, Germany",Liberio Liggieri,,https://www.nasa.gov/mission/station/research-explorer/
